,0,1,2
774,forte,"{'Noun': ['an asset of special worth or utility', 'a musical composition or musical passage to be performed loudly', 'the stronger part of a sword blade between the hilt and the foible'], 'Adjective': ['(used chiefly as a direction or description in music'], 'Adverb': ['used as a direction in music; to be played relatively loudly']}","['green thumb', 'strength', 'long suit', 'asset', 'strong suit', 'specialty', 'speciality', 'plus', 'strong point', 'metier', 'green fingers']"
775,peremptory,"{'Adjective': ['offensively self-assured or given to exercising usually unwarranted power', 'not allowing contradiction or refusal', 'putting an end to all debate or action']}","['dominating', 'high-and-mighty', 'magisterial', 'domineering', 'bossy', 'autocratic']"
776,illiberality,{'Noun': ['a disposition not to be liberal (generous']},['stinginess']
777,skulduggery,{'Noun': ['verbal misrepresentation intended to take advantage of you in some way']},"['trickery', 'hanky panky', 'misrepresentation', 'skullduggery', 'slickness', 'jiggery-pokery', 'hocus-pocus', 'deceit', 'deception']"
778,fallacy,{'Noun': ['a misconception resulting from incorrect reasoning']},"['logical fallacy', 'sophistry', 'pseudoscience', 'sophistication', 'paralogism', 'pathetic fallacy', 'false belief', 'sophism', 'misconception']"
779,baleful,"{'Adjective': ['deadly or sinister', 'threatening or foreshadowing evil or tragic developments']}","['maleficent', 'baneful']"
780,pine,"{'Noun': ['a coniferous tree', 'straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus'], 'Verb': ['have a desire for something or someone who is not present']}","['stone pine', 'ancient pine', 'red pine', 'mountain pine', 'Swiss pine', 'Pinus longaeva', 'Virginia pine', 'mugo pine', ""Torrey's pine"", 'yellow pine', 'Pinus contorta murrayana', 'soledad pine', 'Japanese red pine', 'Pinus jeffreyi', 'Pinus mugo', 'Jersey pine', 'Pinus torreyana', 'Torrey pine', 'hickory pine', 'grey-leaf pine', 'pinon', 'umbrella pine', 'Japanese black pine', 'Pinus aristata', 'Monterey pine', 'Japanese table pine', 'Pinus virginiana', 'Pinus rigida', 'black pine', 'Scotch fir', 'sabine pine', 'Pinus nigra', 'cembra nut tree', 'lodgepole pine', 'Pinus thunbergii', 'Pinus resinosa', 'arolla pine', 'Swiss mountain pine', 'frankincense pine', 'pond pine', 'knobcone pine', 'shore pine', 'Pinus pinea', 'loblolly pine', 'Pinus contorta', 'swamp pine', 'Pinus attenuata', 'mugho pine', 'genus Pinus', 'bristlecone pine', 'jack pine', 'Scots pine', 'true pine', 'Pinus taeda', 'dwarf mountain pine', 'pinecone', 'Pinus pungens', 'prickly pine', 'Pinus banksiana', 'Pinus', 'pitch pine', 'Scotch pine', 'Rocky Mountain bristlecone pine', 'scrub pine', ""Jeffrey's pine"", 'Sierra lodgepole pine', 'Pinus sylvestris', 'conifer', 'pinyon', 'lodgepole', 'northern pitch pine', 'Jeffrey pine', 'coniferous tree', 'Pinus glabra', 'Pinus cembra', 'table-mountain pine', 'Pinus serotina', 'Pinus densiflora', 'Pinus radiata', 'spruce pine', 'pine tree', 'Swiss stone pine', 'Canadian red pine', 'European nut pine', 'white pine']"
781,glowered,"{'Verb': ['look at with a fixed gaze', ""look angry or sullen, wrinkle one's forehead, as if to signal disapproval""]}","['glare', 'stare']"
782,obliging,"{'Verb': ['force somebody to do something', 'bind by an obligation; cause to be indebted', 'provide a service or favor for someone'], 'Adjective': ['showing a cheerful willingness to do favors for others']}","['accommodating', 'complaisant', 'accommodative']"
783,altruistic,{'Adjective': ['showing unselfish concern for the welfare of others']},"['unselfish', 'selfless']"
784,indigenous,{'Adjective': ['originating where it is found']},"['autochthonal', 'endemic', 'native', 'autochthonic', 'autochthonous']"
785,rile,"{'Verb': ['cause annoyance in; disturb, especially by minor irritations', 'make turbid by stirring up the sediments of']}","['agitate', 'vex', 'raise up', 'roil', 'shake up', 'stir up', 'commove', 'disturb', 'puddle', 'muddle']"
786,sham,"{'Noun': ['something that is a counterfeit; not what it seems to be', 'a person who makes deceitful pretenses'], 'Verb': ['make a pretence of', 'make believe with the intent to deceive'], 'Adjective': ['adopted in order to deceive']}","['postiche', 'Potemkin village', 'imitation', 'fake book', 'fake']"
787,egalitarian,"{'Noun': ['a person who believes in the equality of all people'], 'Adjective': ['favoring social equality']}","['moralist', 'equalitarian']"
788,hotly,{'Adverb': ['in a heated manner']},['heatedly']
789,insufferable,"{'Adjective': ['unbearably arrogant or conceited', 'too extreme to bear']}","['unacceptable', 'unendurable', 'impossible', 'unbearable', 'intolerable', 'unsufferable']"
790,dyspeptic,"{'Noun': ['a person suffering from indigestion'], 'Adjective': ['suffering from dyspepsia', 'irritable as if suffering from indigestion']}","['sick', 'ill']"
791,plutocracy,{'Noun': ['a political system governed by the wealthy people']},"['political system', 'form of government']"
792,pacific,"{'Noun': ['the largest ocean in the world'], 'Adjective': ['relating to or bordering the Pacific Ocean', 'disposed to peace or of a peaceful nature', 'promoting peace']}","['Australasia', 'Wake Island', 'Wake', 'Catalina Island', 'Puget Sound', 'South Pacific', 'East China Sea', 'Oceanica', 'Osaka Bay', 'Philippines', 'Guadalupe Island', 'San Francisco Bay', 'New Zealand', 'Sea of Japan', 'Pacific Coast', 'New Zealand Islands', 'Gulf of Tehuantepec', 'North Pacific', 'San Diego Bay', 'Japanese Islands', 'Sea of Okhotsk', 'Antarctic Ocean', 'Japanese Archipelago', 'Arafura Sea', 'Huang Hai', 'Volcano Islands', 'Oceania', 'Bering Sea', 'East Sea', 'Tasman Sea', 'Malay Archipelago', 'Aleutians', 'Inland Sea', 'East Indies', 'Belau', 'Pelew', 'South China Sea', 'Palau Islands', 'Japan', 'New Guinea', 'Philippine Islands', 'Yellow Sea', 'Santa Catalina', 'East India', 'Pacific Ocean', 'Austronesia', 'Aleutian Islands', 'Gulf of Alaska', 'Coral Sea', 'Palau']"
793,belie,"{'Verb': ['be in contradiction with', 'represent falsely']}","['depart', 'contradict', 'vary', 'negate', 'deviate', 'diverge']"
794,demagogue,{'Noun': ['a political leader who seeks support by appealing to popular passions and prejudices']},"['political leader', 'rabble-rouser', 'pol', 'demagog', 'politician', 'politico']"
795,putrefy,{'Verb': ['become putrid; decay with an offensive smell']},"['decay', 'smell']"
796,jargon,"{'Noun': ['a characteristic language of a particular group (as among thieves', 'a colorless (or pale yellow or smoky', 'specialized technical terminology characteristic of a particular subject']}","['slang', 'argot', 'non-standard speech', 'rhyming slang', 'street name', 'cant', 'patois', 'vernacular', 'lingo']"
797,tenuous,"{'Adjective': ['having thin consistency', 'very thin in gauge or diameter', 'lacking substance or significance']}",['thin']
798,nonplussed,"{'Verb': ['be a mystery or bewildering to'], 'Adjective': ['filled with bewilderment']}","['perplexed', 'nonplused', 'puzzled', 'at a loss']"
799,vexation,"{'Noun': ['anger produced by some annoying irritation', 'the psychological state of being irritated or annoyed', 'something or someone that causes anxiety; a source of unhappiness', 'the act of troubling or annoying someone']}","['pique', 'annoyance', 'ire', 'irritation', 'frustration', 'harassment', 'chafe', 'displeasure', 'torment', 'exasperation', 'choler', 'anger', 'temper', 'aggravation']"
800,haughty,{'Adjective': ['having or showing arrogant superiority to and disdain of those one views as unworthy']},"['sniffy', 'prideful', 'disdainful', 'proud', 'supercilious', 'overbearing', 'swaggering', 'imperious', 'lordly']"
801,openhanded,{'Adjective': ['given or giving freely']},"['big', 'freehanded', 'handsome', 'bountiful', 'bighearted', 'liberal', 'giving', 'bounteous', 'generous']"
802,imponderable,"{'Noun': ['a factor whose effects cannot be accurately assessed'], 'Adjective': ['difficult or impossible to evaluate with precision']}","['leaven', 'leavening', 'influence']"
803,olfactory,{'Adjective': ['of or relating to olfaction']},['olfactive']
804,assertive,{'Adjective': ['aggressively self-assured']},"['self-assertive', 'cocky', 'self-asserting', 'imperative', 'forceful', 'aggressive', 'emphatic']"
805,mendacity,{'Noun': ['the tendency to be untruthful']},['untruthfulness']
806,execrable,"{'Adjective': ['of very poor quality or condition', 'unequivocally detestable', 'deserving a curse']}","['hateful', 'detestable', 'abominable', 'odious']"
807,levy,"{'Noun': ['a charge imposed and collected', 'the act of drafting into military service'], 'Verb': ['impose and collect', 'cause to assemble or enlist in the military']}","['tithe', 'impose', 'charge', 'lay', 'toll', 'mulct', 'tax', 'distrain', 'reimpose', 'bill']"
808,conciliatory,"{'Adjective': ['making or willing to make concessions', 'intended to placate']}","['flexible', 'yielding', 'compromising']"
809,contemn,{'Verb': ['look down on with disdain']},"['hate', 'look down on', 'despise', 'detest', 'disdain', 'scorn']"
810,circumvents,"{'Verb': ['surround so as to force to give up', 'beat through cleverness and wit', 'avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues']}","['blockade', 'besiege', 'beleaguer', 'attack', 'seal off', 'ebb', 'surround', 'hem in', 'assail']"
811,reverent,"{'Adjective': ['feeling or showing profound respect or veneration', 'showing great reverence for god']}","['awed', 'awful', 'respectful', 'worshipful', 'venerating', 'adoring', 'reverential']"
812,veritable,"{'Adjective': ['often used as intensifiers', 'not counterfeit or copied']}","['echt', 'unquestionable', 'genuine', 'bona fide', 'authentic']"
813,maelstrom,{'Noun': ['a powerful circular current of water (usually the result of conflicting tides']},"['Charybdis', 'current', 'stream', 'vortex', 'whirlpool']"
814,contiguous,"{'Adjective': ['very close or connected in space or time', 'connecting without a break; within a common boundary', 'having a common boundary or edge; abutting; touching']}","['close', 'immediate']"
815,ascribe,{'Verb': ['attribute or credit to']},"['evaluate', 'externalize', 'charge', 'internalize', 'credit', 'personate', 'internalise', 'anthropomorphise', 'judge', 'personify', 'accredit', 'impute', 'anthropomorphize', 'attribute', 'reattribute', 'pass judgment', 'blame', 'project', 'interiorise', 'carnalize', 'interiorize', 'sensualize', 'assign', 'externalise']"
816,acolyte,{'Noun': ['someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches']},"['thurifer', 'reverend', 'man of the cloth', 'altar boy', 'clergyman', 'Holy Order', 'Order']"
817,evanescent,{'Adjective': ['tending to vanish like vapor']},"['temporary', 'impermanent']"
818,compromise,"{'Noun': ['a middle way between two extremes', 'an accommodation in which both sides make concessions'], 'Verb': ['make a compromise; arrive at a compromise', 'settle by concession', 'expose or make liable to danger, suspicion, or disrepute']}","['via media', 'cooperation']"
819,zephyr,"{'Noun': ['a slight wind (usually refreshing', '(Greek mythology']}","['gentle wind', 'light air', 'air current', 'strong breeze', 'moderate breeze', 'breeze', 'light breeze', 'air', 'sea breeze', 'current of air', 'wind', 'fresh breeze', 'gentle breeze', 'breath']"
820,ornate,{'Adjective': ['marked by elaborate rhetoric and elaborated with decorative details']},"['flowery', 'rhetorical']"
821,apt,"{'Adjective': [""(usually followed by `to'"", 'at risk of or subject to experiencing something usually unpleasant', 'mentally quick and resourceful', 'being of striking appropriateness and pertinence']}","['liable', 'likely']"
822,hubris,{'Noun': ['overbearing pride or presumption']},"['hauteur', 'high-handedness', 'haughtiness', 'lordliness', 'arrogance']"
823,convivial,{'Adjective': ['occupied with or fond of the pleasures of good company']},"['sociable', 'good-time']"
824,gestation,"{'Noun': ['the period during which an embryo develops (about 266 days in humans', 'the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus', 'the conception and development of an idea or plan']}","['full term', 'biological time', 'trimester', 'term', 'midterm', 'gestation period']"
825,credulous,"{'Adjective': ['disposed to believe on little evidence', 'showing a lack of judgment or experience']}","['naive', 'unquestioning', 'naif', 'credible', 'trusting', 'overcredulous', 'trustful']"
826,dilapidated,"{'Verb': ['bring into a condition of decay or partial ruin by neglect or misuse', 'fall into decay or ruin'], 'Adjective': ['in deplorable condition']}","['broken-down', 'derelict', 'tumble-down', 'ramshackle', 'tatterdemalion', 'bedraggled', 'damaged']"
827,implication,"{'Noun': ['something that is inferred (deduced or entailed or implied', 'a meaning that is not expressly stated but can be inferred', 'an accusation that brings into intimate and usually incriminating connection', ""a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false"", 'a relation implicated by virtue of involvement or close connection (especially an incriminating involvement']}","['illation', 'deduction', 'entailment', 'inference']"
828,derelict,"{'Noun': ['a person without a home, job, or property', 'a ship abandoned on the high seas'], 'Adjective': ['worn and broken down by hard use', 'forsaken by owner or inhabitants', 'failing in what duty requires', 'or delinquent', 'in deplorable condition']}","['delinquent', 'remiss', 'negligent', 'neglectful']"
829,noisome,"{'Adjective': ['causing or able to cause nausea', 'offensively malodorous']}","['nauseous', 'nauseating', 'sickening', 'unwholesome', 'loathsome', 'queasy', 'vile', 'offensive']"
830,perfidious,{'Adjective': ['tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans']},"['treacherous', 'punic', 'unfaithful']"
831,indictment,"{'Noun': ['a formal document written for a prosecuting attorney charging a person with some offense', 'an accusation of wrongdoing']}","['murder charge', 'legal instrument', 'true bill', 'charge', 'murder indictment', 'complaint', 'legal document', 'instrument', 'bill of indictment', 'official document']"
832,sinuous,"{'Adjective': ['curved or curving in and out', 'gracefully thin and bending and moving with ease']}","['wiggly', 'curved', 'sinuate', 'curving']"
833,paroxysm,{'Noun': ['a sudden uncontrollable attack']},"['fit', 'convulsion', 'attack']"
834,log,"{'Noun': ['a segment of the trunk of a tree when stripped of branches', 'the exponent required to produce a given number', 'a written record of messages sent or received', 'a written record of events on a voyage (of a ship or plane', ""measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water""], 'Verb': ['enter into a log, as on ships and planes', 'cut lumber, as in woods and forests']}","['nurse log', 'saw log', 'wood']"
835,verisimilar,{'Adjective': ['appearing to be true or real']},"['probable', 'likely']"
836,repudiate,"{'Verb': ['cast off', 'refuse to acknowledge, ratify, or recognize as valid', 'refuse to recognize or pay', 'reject as untrue, unfounded, or unjust']}","['take back', 'forswear', 'reject', 'unsay', 'disown', 'refute', 'apostatize', 'resile', 'abjure', 'retract', 'renounce', 'apostatise', 'tergiversate', 'deny', 'withdraw', 'swallow', 'rebut', 'recant']"
837,adversity,"{'Noun': ['a state of misfortune or affliction', 'a stroke of ill fortune; a calamitous event']}","['distress', 'low-water mark', 'extremity', 'tough luck', 'hardship', 'nadir', 'disaster', 'affliction', 'victimization', 'hard knocks', 'catastrophe', 'ill-being', 'misfortune', 'ill luck', 'bad luck']"
838,absolve,"{'Verb': ['grant remission of a sin to', 'let off the hook']}","['forgive', 'justify', 'let off', 'exempt', 'free', ""wash one's hands"", 'excuse', 'relieve']"
839,encyclopedic,{'Adjective': ['comprehensive in scope or content (as an encyclopedia']},"['comprehensive', 'encyclopaedic']"
840,formidable,"{'Adjective': ['extremely impressive in strength or excellence', 'inspiring fear']}","['unnerving', 'redoubtable', 'alarming']"
841,juvenescence,{'Noun': ['the process of growing into a youth']},"['ontogenesis', 'development', 'maturation', 'growth', 'growing', 'ontogeny']"
842,painstaking,{'Adjective': ['characterized by extreme care and great effort']},"['conscientious', 'careful', 'scrupulous']"
843,bygone,"{'Noun': ['past events to be put aside'], 'Adjective': ['well in the past; former']}","['departed', 'foregone', 'gone', 'past', 'bypast']"
844,idolatrous,"{'Adjective': ['relating to or practicing idolatry', 'blindly or excessively devoted or adoring']}",['loving']
845,notorious,{'Adjective': ['known widely and usually unfavorably']},"['disreputable', 'ill-famed', 'infamous']"
846,tumult,"{'Noun': ['a state of commotion and noise and confusion', 'violent agitation', 'the act of making a noisy disturbance']}","['hoo-ha', 'garboil', 'uproar', 'commotion', 'hoo-hah', 'to-do', 'combustion', 'disturbance', 'kerfuffle', 'hurly burly', 'flutter', 'disruption', 'tumultuousness']"
847,trepidation,{'Noun': ['a feeling of alarm or dread']},"['apprehension', 'apprehensiveness', 'dread']"
848,imminent,{'Adjective': ['close in time; about to occur']},"['impendent', 'at hand', 'impending', 'close at hand', 'close']"
849,slander,"{'Noun': ['words falsely spoken that damage the reputation of another', ""an abusive attack on a person's character or good name""], 'Verb': ['charge falsely or with malicious intent; attack the good name and reputation of someone']}","['attack', 'calumny', 'denigration', 'defamation', 'aspersion']"
850,complement,"{'Noun': ['a word or phrase used to complete a grammatical construction', 'a complete number or quantity', 'number needed to make up a whole force', 'something added to complete or embellish or make perfect', 'one of a series of enzymes in the blood serum that are part of the immune response', 'either of two parts that mutually complete each other'], 'Verb': ['make complete or perfect; supply what is wanting or form the complement to']}","['expression', 'construction', 'grammatical construction']"
851,vigilant,{'Adjective': ['carefully observant or attentive; on the lookout for possible danger']},"['watchful', 'wakeful', 'alert', 'argus-eyed', 'open-eyed']"
852,unkempt,"{'Adjective': ['not neatly combed', 'not properly maintained or cared for']}",['uncombed']
853,schadenfreude,"{'Noun': [""delight in another person's misfortune""]}","['delectation', 'delight']"
854,confer,"{'Verb': ['have a conference in order to talk something over', 'present']}","['hash out', 'discuss', 'confab', 'consult', 'collogue', 'confabulate', 'talk over']"
855,permeate,"{'Verb': ['spread or diffuse through', 'pass through', 'penetrate mutually or be interlocked']}","['perforate', 'penetrate', 'interpenetrate', 'diffuse', 'riddle', 'imbue', 'spiritize', 'pervade', 'spiritise']"
856,culpable,{'Adjective': ['deserving blame or censure as being wrong or evil or injurious']},"['blameworthy', 'blamable', 'censurable', 'blameable', 'blameful', 'guilty']"
857,flamboyant,"{'Noun': ['showy tropical tree or shrub native to Madagascar; widely planted in tropical regions for its immense racemes of scarlet and orange flowers; sometimes placed in genus Poinciana'], 'Adjective': ['marked by ostentation but often tasteless', 'elaborately or excessively ornamented']}","['peacock flower', 'flowering tree', 'angiospermous tree', 'Delonix regia', 'Delonix', 'Poinciana regia', 'royal poinciana', 'flame tree', 'genus Delonix']"
858,erstwhile,"{'Adjective': ['belonging to some prior time'], 'Adverb': ['at a previous time']}","['at one time', 'once', 'erst', 'formerly']"
859,snide,{'Adjective': ['expressive of contempt']},"['sneering', 'supercilious', 'uncomplimentary']"
860,remuneration,"{'Noun': ['something that remunerates', 'the act of paying for goods or services or to recompense for losses']}","['payroll', 'combat pay', 'pay packet', 'double time', 'merit pay', 'half-pay', 'pay envelope', 'strike pay', 'earnings', 'take-home pay', 'wage', 'salary', 'minimum wage', 'sick pay', 'living wage', 'pay', 'paysheet', 'found', 'regular payment']"
861,complaisance,{'Noun': ['a disposition or tendency to yield to the will of others']},"['obligingness', 'compliance', 'compliancy', 'agreeability', 'agreeableness', 'deference']"
862,liberal,"{'Noun': ['a person who favors a political philosophy of progress and reform and the protection of civil liberties', 'a person who favors an economic theory of laissez-faire and self-regulating markets'], 'Adjective': ['showing or characterized by broad-mindedness', 'having political or social views favoring reform and progress', 'tolerant of change; not bound by authoritarianism, orthodoxy, or tradition', 'given or giving freely', 'not literal']}","['liberalist', 'latitudinarian', 'progressive', 'Whig', 'pluralist', 'neoliberal', 'armchair liberal', 'grownup', 'adult']"
863,picturesque,"{'Adjective': ['suggesting or suitable for a picture; pretty as a picture', 'strikingly expressive']}",['beautiful']
864,risible,{'Adjective': ['arousing or provoking laughter']},"['funny', 'comical', 'amusing', 'laughable', 'comic', 'humourous', 'mirthful', 'humorous']"
865,encomium,{'Noun': ['a formal expression of praise']},"['eulogy', 'praise', 'congratulations', 'paean', 'kudos', 'extolment', 'pean', 'panegyric']"
866,stint,"{'Noun': ['an unbroken period of time during which you do something', 'smallest American sandpiper', ""an individual's prescribed share of work""], 'Verb': ['subsist on a meager allowance', 'supply sparingly and with restricted quantities']}","['duration', 'continuance', 'stretch']"
867,scorn,"{'Noun': ['lack of respect accompanied by a feeling of intense dislike', 'open disrespect for a person or thing'], 'Verb': ['look down on with disdain', 'reject with contempt']}","['despite', 'contempt', 'disdain', 'dislike']"
868,overshadow,"{'Verb': ['be greater in significance than', 'make appear small by comparison', 'cast a shadow upon']}","['dominate', 'eclipse', 'hover', 'brood', 'bulk large', 'loom']"
869,manacle,"{'Noun': ['shackle that consists of a metal loop that can be locked around the wrist; usually used in pairs'], 'Verb': ['confine or restrain with or as if with manacles or handcuffs']}","['trammel', 'shackle', 'cuff', 'bond', 'handlock', 'handcuff', 'hamper']"
870,countermand,"{'Noun': ['a contrary command cancelling or reversing a previous command'], 'Verb': ['cancel officially']}","['command', 'bidding', 'dictation', 'bid']"
871,lachrymose,{'Adjective': ['showing sorrow']},"['dolorous', 'weeping', 'tearful', 'dolourous', 'sorrowful']"
872,bifurcate,"{'Verb': ['split or divide into two', 'divide into two branches'], 'Adjective': ['resembling a fork; divided or separated into two branches']}","['separate', 'ramify', 'furcate', 'fork', 'branch']"
873,tirade,{'Noun': ['a speech of violent denunciation']},"['denouncement', 'broadside', 'denunciation', 'declamation', 'philippic']"
874,primacy,{'Noun': ['the state of being first in importance']},"['importance', 'grandness']"
875,plausible,"{'Adjective': ['apparently reasonable and credible, and therefore convincing', 'given to or characterized by presenting specious arguments']}","['arguable', 'slick', 'believable', 'pat', 'credible', 'glib']"
876,peripatetic,"{'Noun': ['a person who walks from place to place', 'a follower of Aristotle or an adherent of Aristotelianism'], 'Adjective': ['of or relating to Aristotle or his philosophy', 'traveling especially on foot']}","['Aristotelic', 'Aristotelean', 'Aristotelian']"
877,veneration,"{'Noun': ['a feeling of profound respect for someone or something', 'religious zeal; the willingness to serve God']}","['bibliolatry', 'symbol-worship', 'place-worship', 'Bible-worship', 'grammatolatry', 'thaumatolatry', 'verbolatry', 'topolatry', 'idolatry', 'cultism', 'worship', 'gyneolatry', 'anthropolatry', 'miracle-worship', 'word-worship', 'devotion', 'worship of man', 'gynaeolatry', 'symbolatry', 'symbololatry', 'lordolatry', 'woman-worship']"
878,refracted,"{'Verb': ['subject to refraction', 'determine the refracting power of (a lens']}","['find', 'find out', 'ascertain', 'determine']"
879,subversive,"{'Noun': ['a radical supporter of political or social revolution'], 'Adjective': ['in opposition to a civil authority or government']}","['seditious', 'disloyal', 'insurgent']"
880,dissident,"{'Noun': ['a person who dissents from some established policy'], 'Adjective': ['characterized by departure from accepted beliefs or standards', 'disagreeing, especially with a majority']}","['heretical', 'unorthodox', 'heterodox']"
881,unconventional,"{'Adjective': ['not conforming to accepted rules or standards', 'not conventional or conformist', 'not conforming to legality, moral law, or social convention']}","['convention', 'original', 'maverick', 'conventionalism', 'bohemian', 'go-as-you-please', 'conventionality', 'unorthodox', 'irregular']"
882,grovel,{'Verb': ['show submission or fear']},"['crawl', 'fawn', 'creep', 'cringe', 'flex', 'bend', 'cower']"
883,profuse,{'Adjective': ['produced or growing in extreme abundance']},"['riotous', 'exuberant', 'luxuriant', 'lush', 'abundant']"
884,bilious,"{'Adjective': ['relating to or containing bile', 'suffering from or suggesting a liver disorder or gastric distress', 'irritable as if suffering from indigestion']}","['liverish', 'dyspeptic', 'ill-natured', 'atrabilious']"
885,summit,"{'Noun': ['the highest level or degree attainable; the highest stage of development', 'the top or extreme point of something (usually a mountain or hill', 'a meeting of heads of governments'], 'Verb': ['reach the summit (of a mountain']}","['pinnacle', 'hilltop', 'crest', 'place', 'tip', 'topographic point', 'peak', 'mountain peak', 'top', 'brow', 'crown', 'spot']"
886,vanquish,"{'Verb': ['come out better in a competition, race, or conflict']}","['spreadeagle', 'eliminate', 'outflank', 'cream', 'chicane', 'outperform', 'subdue', 'mate', 'outmatch', 'surmount', 'outfox', 'get the better of', 'get the jump', 'best', 'trump', 'immobilise', 'exceed', 'rout', 'defeat', 'outscore', 'win', 'drub', 'clobber', 'mop up', 'get the best', 'have the best', 'overwhelm', 'shaft', 'outstrip', 'get over', 'outdo', 'trounce', 'thrash', 'pip', 'master', 'jockey', 'shell', 'overcome', 'scoop', 'beat', 'lick', 'overmaster', 'spread-eagle', 'surpass', 'whip', 'screw', 'walk over', 'rack up', 'chouse', 'overpower', 'overreach', 'outsmart', 'outwit', 'immobilize', 'checkmate', 'outpoint', 'whomp', 'circumvent', 'beat out', 'outfight', 'worst', 'outplay', 'bat', 'outgo', 'cheat', 'crush']"
887,meritocracy,"{'Noun': ['a form of social system in which power goes to those with superior intellects', 'the belief that rulers should be chosen for their superior abilities and not because of their wealth or birth']}","['political orientation', 'political theory', 'ideology']"
888,quip,"{'Noun': ['a witty saying', 'witty remark'], 'Verb': ['make jokes or quips']}","['gag', 'joke', 'jest']"
889,diffuse,"{'Verb': ['move outward', 'spread or diffuse through', 'cause to become widely known'], 'Adjective': ['spread out; not concentrated in one place', '(of light', 'lacking conciseness']}","['spread', 'percolate', 'distribute', 'mantle', 'run', 'creep', 'fan out', 'spread out', 'bleed']"
890,excoriate,"{'Verb': ['express strong disapproval of', 'tear or wear off the skin or make sore by abrading']}","['objurgate', 'reprobate', 'condemn', 'denounce', 'decry']"
891,parley,"{'Noun': ['a negotiation between enemies'], 'Verb': ['discuss, as between enemies']}","['dialogue', 'talks', 'negotiation']"
892,detrimental,"{'Adjective': [""(sometimes followed by `to'""]}","['prejudicious', 'damaging', 'harmful', 'prejudicial']"
893,precocious,"{'Adjective': ['characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude', 'appearing or developing early']}","['intelligent', 'advanced']"
894,repercussion,"{'Noun': ['a remote or indirect consequence of some action', 'a movement back from an impact']}","['result', 'consequence', 'issue', 'outcome', 'reverberation', 'effect', 'event', 'upshot']"
895,byzantine,"{'Noun': ['a native or inhabitant of Byzantium or of the Byzantine Empire'], 'Adjective': ['of or relating to the Eastern Orthodox Church or the rites performed in it', 'of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium', 'highly complex or intricate and occasionally devious']}","['involved', 'knotty', 'complex', 'convoluted', 'tortuous', 'tangled']"
896,fracas,{'Noun': ['noisy quarrel']},"['altercation', 'batrachomyomachia', 'words', 'affray', 'quarrel', 'row', 'wrangle', 'run-in', 'dustup']"
897,irreverent,"{'Adjective': ['showing lack of due respect or veneration', 'characterized by a lightly pert and exuberant quality', 'not revering god']}","['disrespectful', 'sacrilegious', 'profane', 'aweless', 'blasphemous', 'awless']"
898,accede,"{'Verb': [""yield to another's wish or opinion"", 'take on duties or office', 'to agree or express agreement']}","['succumb', 'bow', 'knuckle under', 'buckle under', 'submit', 'yield', 'defer', 'give in']"
899,delegate,"{'Noun': ['a person appointed or elected to represent others'], 'Verb': ['transfer power to someone', 'give an assignment to (a person', 'a person']}","['depute', 'assign', 'designate']"
900,discursive,"{'Adjective': ['proceeding to a conclusion by reason or argument rather than intuition', '(of e.g. speech and writing']}","['dianoetic', 'logical']"
901,touted,"{'Verb': ['advertize in strongly positive terms', 'show off']}","['tipster', 'advisor', 'consultant', 'racetrack tout', 'adviser']"
902,wag,"{'Noun': ['a witty amusing person who makes jokes', 'causing to move repeatedly from side to side'], 'Verb': ['move from side to side']}","['jiggle', 'waggle', 'wiggle', 'joggle']"
903,ramification,"{'Noun': ['the act of branching out or dividing into branches', 'a part of a forked or branching shape', 'a development that complicates a situation', 'an arrangement of branching parts']}","['trifurcation', 'bifurcation', 'fibrillation', 'divarication', 'branching', 'division', 'forking', 'fork']"
904,redress,"{'Noun': ['a sum of money paid in compensation for loss or injury', 'act of correcting an error or a fault or an evil'], 'Verb': ['make reparations or amends for']}","['general damages', 'nominal damages', 'exemplary damages', 'relief', 'amends', 'damages', 'actual damages', 'compensatory damages', 'punitive damages', 'indemnity', 'restitution', 'compensation', 'expiation', 'satisfaction', 'indemnification', 'smart money', 'atonement']"
905,contraries,"{'Noun': ['a relation of direct opposition', 'exact opposition', 'a logical relation such that two propositions are contraries if both cannot be true but both can be false']}",['different']
906,myriad,"{'Noun': ['a large indefinite number', 'the cardinal number that is the product of ten and one thousand'], 'Adjective': ['too numerous to be counted']}","['unnumberable', 'countless', 'innumerable', 'numberless', 'uncounted', 'infinite', 'unnumbered', 'unnumerable', 'incalculable', 'innumerous', 'multitudinous']"
907,descry,{'Verb': ['catch sight of']},"['espy', 'spy', 'sight', 'spot']"
908,sybarite,{'Noun': ['a person addicted to luxury and pleasures of the senses']},"['sensualist', 'voluptuary']"
909,repugnant,{'Adjective': ['offensive to the mind']},"['obscene', 'detestable', 'repulsive', 'abhorrent', 'offensive']"
