,Gregmat,Magoosh,Manhattan,Prep Scholar,Powerscore,Vince Kotchian / Brian McElroy,Greenlight Basic,Greenlight Advanced,,Work,Meaning,,,,,,,,,,,,,
260,evasive,derelict,distaff,perfidy,germane,covert,incorrigible,lubricious,,,,,,,,,,,,,,,,
261,evoke,deride,distend,perfunctory,glib,cowed,incubation,luculent,,,,,,,,,,,,,,,,
262,exacerbate,derisive,distill,peripheral,glower,craven,incumbent,lugubrious,,,,,,,,,,,,,,,,
263,exacting,derivative,dither,permeate,gradation,credence,indefatigable,lumber,,,,,,,,,,,,,,,,
264,exasperated,derive,diurnal,perseverance,gratuitous,credulous,indifferent,luminary,,,,,,,,,,,,,,,,
265,exculpate,derogative,diverge,peruse,gregarious,crepuscular,indignation,macerate,,,,,,,,,,,,,,,,
266,exhaustive,desecrate,divest,pervasive,grievous,demotic,indolent,maculate,,,,,,,,,,,,,,,,
267,exhilarating,desiccated,divine,phenomena,grovel,demur,indomitable,magnanimity,,,,,,,,,,,,,,,,
268,exonerate,desideratum,doctrinaire,phlegmatic,guile,denigrate,inept,malinger,,,,,,,,,,,,,,,,
269,exorcise,despot,document,pith,gustatory,denizen,inerrancy,maunder,,,,,,,,,,,,,,,,
270,exotic,destitute,doff,placate,hackneyed,denuded,inert,maxim,,,,,,,,,,,,,,,,
271,expedient,deter,dogma,plastic,halcyon,depiction,ingenuity,mellifluous,,,,,,,,,,,,,,,,
272,expedite,detrimental,dormant,platitude,hapless,deplete,inherent,mendacity,,,,,,,,,,,,,,,,
273,explicable,devolve,dovetail,plausible,harangue,deplore,innocuous,mendicant,,,,,,,,,,,,,,,,
274,exploitative,diabolical,droll,plethora,hedonist,depredate,inopportune,mercurial,,,,,,,,,,,,,,,,
275,extraneous,diatribe,dubious,plummet,hegemony,deride,inquisitive,meretricious,,,,,,,,,,,,,,,,
276,extrapolate,dictatorial,dupe,polarize,heretical,derivative,insipid,mettle,,,,,,,,,,,,,,,,
277,extravagant,didactic,duplicity,polemical,hermetic,descry,insular,militate,,,,,,,,,,,,,,,,
278,fabricate,differentiate,dyspeptic,pragmatic,histrionic,desecrate,intemperance,minatory,,,,,,,,,,,,,,,,
279,facetious,diffident,e.g.,precarious,hoary,desiccated,intimate,mince,,,,,,,,,,,,,,,,
280,fallacious,dilapidated,ebullient,preceded,hubris,despoiled,intransigent,misogynist,,,,,,,,,,,,,,,,
281,fallible,dilatory,eccentric,precipitate,husband,despot,intrepid,mordant,,,,,,,,,,,,,,,,
282,falter,dilettante,echelon,precursor,iconoclast,desuetude,introspection,moribund,,,,,,,,,,,,,,,,
283,fanciful,diligent,eclectic,prescient,idiosyncrasy,deteriorate,inundate,multifarious,,,,,,,,,,,,,,,,
284,fastidious,diminutive,eclipse,presumptuous,idolatrous,devoid,inured,munificence,,,,,,,,,,,,,,,,
285,fawn,disabuse,edify,prevail,ignoble,devolve,irascible,nadir,,,,,,,,,,,,,,,,
286,feasible,disaffected,efficacy,prevaricate,ignominious,devout,irony,nascent,,,,,,,,,,,,,,,,
287,feckless,discord,effigy,pristine,illusory,dexterity,itinerant,natty,,,,,,,,,,,,,,,,
288,fecund,discreet,effrontery,probity,imbue,diabolical,itinerate,nebulous,,,,,,,,,,,,,,,,
289,feeble,discrete,egalitarian,prodigal,immutable,diaphanous,judicious,neologism,,,,,,,,,,,,,,,,
290,feign,discriminate,egregious,prodigious,impasse,diatribe,lackluster,neophyte,,,,,,,,,,,,,,,,
291,felicitous,discursive,egress,profligate,impecunious,dichotomy,lament,nexus,,,,,,,,,,,,,,,,
292,fervent,disenfranchise,elated,proliferate,imperturbable,didactic,latent,nice,,,,,,,,,,,,,,,,
293,fervid,disheartened,elegy,propitiate,impervious,diffident,lethargic,noisome,,,,,,,,,,,,,,,,
294,fervor,disingenuous,elevate,propriety,impetuous,digression,lucid,nostrum,,,,,,,,,,,,,,,,
295,fester,disinterested,elicit,prospective,impious,dilatory,luminous,noxious,,,,,,,,,,,,,,,,
296,finicky,disparate,eloquent,qualification,implacable,dilettante,magnate,nugatory,,,,,,,,,,,,,,,,
297,flamboyant,dispassionate,emaciate,quotidian,implicit,dilute,makeshift,obloquy,,,,,,,,,,,,,,,,
298,florid,dispatch,embellish,rationalize,imprecation,dint,malevolent,obstreperous,,,,,,,,,,,,,,,,
299,flout,dispensation,eminent,reconcile,impugn,dire,malleable,occult,,,,,,,,,,,,,,,,
300,flummoxed,dissemble,empirical,recondite,impute,discomfit,manifest,officious,,,,,,,,,,,,,,,,
301,foil,disseminate,emulate,refute,incarnadine,disconcert,marginal,opprobrium,,,,,,,,,,,,,,,,
302,foment,dissipate,encomium,relentless,inchoate,discreet,martial,oscillation,,,,,,,,,,,,,,,,
303,foolhardy,dissolution,endemic,relevant,incipient,discrepancy,maverick,ossified,,,,,,,,,,,,,,,,
304,forbear,docile,enervate,reproach,incontrovertible,discrete,membrane,ostensible,,,,,,,,,,,,,,,,
305,foreseeable,dog,engender,repudiate,incorrigible,discriminate,metamorphose,overweening,,,,,,,,,,,,,,,,
306,forestall,dogmatic,enhance,rescind,incredulous,disgruntled,meticulous,paean,,,,,,,,,,,,,,,,
307,forsake,doleful,enigma,respectively,inculcate,dismantle,milk,palliate,,,,,,,,,,,,,,,,
308,fractious,dolorous,entitlement,reticent,indigenous,dismissive,misanthrope,panacea,,,,,,,,,,,,,,,,
309,fret,doughty,enumerate,reverent,indignant,disparage,misappropriate,panache,,,,,,,,,,,,,,,,
310,frivolous,dovetail,ephemeral,rhetoric,indolent,disparate,misconstrue,pandemic,,,,,,,,,,,,,,,,
311,fruitful,dupe,epicure,salubrious,ineffable,dispassionate,miscreant,panegyric,,,,,,,,,,,,,,,,
312,fungible,duplicity,equanimity,sanction,inexorable,dispatch,miserly,pariah,,,,,,,,,,,,,,,,
313,furtive,duress,equitable,satiate,ingenious,displacing,mitigate,parry,,,,,,,,,,,,,,,,
314,futile,ebullient,equivocate,secular,ingenue,disputatious,mollify,parsimonious,,,,,,,,,,,,,,,,
315,gaffe,eccentric,erratic,sediment,ingrate,dissemble,monotonous,paucity,,,,,,,,,,,,,,,,
316,gainsay,eclectic,erroneous,sedulous,ingratiate,disseminated,morose,peccadillo,,,,,,,,,,,,,,,,
317,galvanize,economical,ersatz,simultaneous,inherent,distension,multifaceted,pedestrian,,,,,,,,,,,,,,,,
318,garrulous,edifying,erstwhile,solicitous,inimical,dither,myriad,pellucid,,,,,,,,,,,,,,,,
319,gawky,effervescent,erudite,soporific,iniquity,diurnal,nominal,peregrination,,,,,,,,,,,,,,,,
320,glib,efficacious,eschew,sparse,innocuous,divergent,nonplussed,peremptory,,,,,,,,,,,,,,,,
321,glum,effrontery,esoteric,specious,insidious,divisive,novel,perfidy,,,,,,,,,,,,,,,,
322,gratify,egotist,estimable,sporadic,insipid,docile,obdurate,perfunctory,,,,,,,,,,,,,,,,
323,hackneyed,egregious,ethos,spurious,insolence,doctrinaire,oblique,perigee,,,,,,,,,,,,,,,,
324,hamper,eke,eulogy,stolid,insular,doggedness,obsequious,peripatetic,,,,,,,,,,,,,,,,
325,haphazard,elaborate,euphemism,subjective,insurrection,doggerel,obstinate,pernicious,,,,,,,,,,,,,,,,
326,harbinger,elegiac,euphony,substantiate,inter,dogmatic,obtuse,peroration,,,,,,,,,,,,,,,,
327,headstrong,elicit,exacerbate,subversive,interlocutor,dolorous,obviate,petrous,,,,,,,,,,,,,,,,
328,heed,elucidate,exacting,sufficient,interregnum,dormant,odious,philistine,,,,,,,,,,,,,,,,
329,heterodox,elude,exculpate,superbly,intractable,dour,ominous,phlegmatic,,,,,,,,,,,,,,,,
330,heterogeneous,elusive,exhaustive,supine,intransigent,draconian,onerous,picaresque,,,,,,,,,,,,,,,,
331,hinder,embellish,exigent,supplant,inundate,droll,opaque,pied,,,,,,,,,,,,,,,,
332,histrionic,embroiled,exonerate,sycophant,inure,dubious,ornery,pillory,,,,,,,,,,,,,,,,
333,hodgepodge,embryonic,expedient,synthesize,invective,dudgeon,ostentatious,piquant,,,,,,,,,,,,,,,,
334,homogeneous,eminent,explicit,tacit,inveigle,dupe,ostracism,pique,,,,,,,,,,,,,,,,
335,humdrum,empathetic,exponent,taciturn,investiture,duplicitous,paradigm,pithy,,,,,,,,,,,,,,,,
336,hyperbole,empiricism,expurgate,temperance,invidious,dwindle,paradox,plaintive,,,,,,,,,,,,,,,,
337,iconoclastic,emulate,extemporaneous,tenuous,invoke,dyspeptic,parody,plangent,,,,,,,,,,,,,,,,
338,illusory,enamor,extraneous,timorous,irascible,ebullient,partisan,platonic,,,,,,,,,,,,,,,,
339,immure,encumber,extrapolate,tirade,itinerant,eclectic,patent,pliant,,,,,,,,,,,,,,,,
340,immutable,endemic,facetious,torpor,jettison,effaced,pedagogy,plumb,,,,,,,,,,,,,,,,
341,impair,enervate,facilitate,tortuous,jingoism,effete,pedantic,polemical,,,,,,,,,,,,,,,,
342,impede,engender,faction,tractable,jocular,efficacious,penchant,portentious,,,,,,,,,,,,,,,,
343,imperious,enjoin,fallacious,transient,juncture,efflorescence,penultimate,poseur,,,,,,,,,,,,,,,,
344,impertinent,enmity,fallow,ubiquitous,juxtapose,effluvium,penury,prate,,,,,,,,,,,,,,,,
345,impetuous,enormity,fanatical,unadorned,keen,effrontery,perennial,prattle,,,,,,,,,,,,,,,,
346,implicit,enthrall,fanciful,undermine,kindle,effusive,peripheral,precept,,,,,,,,,,,,,,,,
347,improvise,entice,fastidious,underscore,kinetic,egalitarian,perjury,precis,,,,,,,,,,,,,,,,
348,impugn,entrenched,fathom,untenable,knell,egregious,personable,predilection,,,,,,,,,,,,,,,,
349,inborn,enumerate,fatuous,vacillate,lachrymose,eldritch,pertinent,preen,,,,,,,,,,,,,,,,
350,incendiary,ephemeral,fawn,venality,laconic,emancipate,peruse,prevaricate,,,,,,,,,,,,,,,,
351,incessant,epigram,feasible,venerate,lament,embellish,pervasive,privation,,,,,,,,,,,,,,,,
352,inclined,epiphany,fecund,veracity,lampoon,embroiled,petulant,prize,,,,,,,,,,,,,,,,
353,incongruous,eponym,felicitous,verbose,languid,embryonic,pine,probity,,,,,,,,,,,,,,,,
354,incredulous,equitable,fervid,vexation,lapidary,eminent,pious,prodigious,,,,,,,,,,,,,,,,
355,indefatigable,equivocal,fetid,volatile,largess,emollient,placate,profligate,,,,,,,,,,,,,,,,
356,indiscriminate,equivocate,fidelity,whimsical,lassitude,emphatic,placebo,prolific,,,,,,,,,,,,,,,,
357,indispensable,eradicate,figurative,zeal,latent,empirical,plasticity,prolix,,,,,,,,,,,,,,,,
358,indolent,err,finesse,,laud,encomium,platitude,propinquity,,,,,,,,,,,,,,,,
359,industrious,errant,flag,,lavish,encompass,plethora,propitiate,,,,,,,,,,,,,,,,
360,inform,erratic,fledgling,,legerdemain,encroaching,plod,prosaic,,,,,,,,,,,,,,,,
361,ingenuous,ersatz,fleeting,,levity,enervating,plummet,proscribe,,,,,,,,,,,,,,,,
362,inhibit,erudite,florid,,lexicography,enigmatic,poignant,provident,,,,,,,,,,,,,,,,
363,inimical,eschew,flout,,liberate,enmity,pompous,puerile,,,,,,,,,,,,,,,,
364,innocuous,esoteric,fluke,,libertine,ennui,porous,pugnacious,,,,,,,,,,,,,,,,
365,inscrutable,espouse,foment,,licentious,ensorcelled,pragmatic,puissance,,,,,,,,,,,,,,,,
366,insipid,estimable,forage,,limpid,entitled,precarious,pulchritude,,,,,,,,,,,,,,,,
367,insular,ethereal,ford,,lissome,entreat,precipitate,pullulation,,,,,,,,,,,,,,,,
368,interchangeable,euphoria,foreshadow,,listless,ephemeral,precursor,punctilious,,,,,,,,,,,,,,,,
369,intermittent,evanescent,forestall,,loquacious,epitome,preempt,pundit,,,,,,,,,,,,,,,,
370,intertwined,evasive,forfeit,,lucid,equivocal,presumption,pusillanimous,,,,,,,,,,,,,,,,
371,intimate,evenhanded,fortify,,lugubrious,eradicate,presumptuous,putrefy,,,,,,,,,,,,,,,,
372,intransigent,exacerbate,fortuitous,,luminous,ersatz,prime,quaff,,,,,,,,,,,,,,,,
373,intrepid,exacting,fracas,,machination,erstwhile,pristine,quail,,,,,,,,,,,,,,,,
374,intrinsic,exalt,fractious,,maelstrom,erudite,proclivity,quay,,,,,,,,,,,,,,,,
375,inundate,exasperate,frenetic,,magnanimous,eschew,prodigal,querulous,,,,,,,,,,,,,,,,
376,invasive,excoriate,fringe,,magnate,esoteric,profuse,quiescence,,,,,,,,,,,,,,,,
377,inveigle,excruciating,frugal,,malediction,espouse,proliferate,quixotic,,,,,,,,,,,,,,,,
378,inveterate,execrate,fulminate,,malevolent,espy,prone,quotidian,,,,,,,,,,,,,,,,
379,invidious,exegesis,furtive,,malice,estimable,propagate,raffish,,,,,,,,,,,,,,,,
380,invigorate,exemplar,futile,,malinger,estranged,propensity,rail,,,,,,,,,,,,,,,,
381,inviolate,exemplify,gainsay,,malleable,ethereal,provincial,ramify,,,,,,,,,,,,,,,,
382,irascible,exhort,gambol,,malodorous,etiolated,prudent,rampart,,,,,,,,,,,,,,,,
383,ire,exiguity,garner,,mar,euphemism,prune,rancorous,,,,,,,,,,,,,,,,
384,irksome,exonerate,garrulous,,martial,eurytopic,pursuant,rapacious,,,,,,,,,,,,,,,,
385,ironclad,exorbitant,gauche,,martinet,evanescent,qualify,rebus,,,,,,,,,,,,,,,,
386,irresolute,expansive,gawky,,matriarch,evinced,qualm,recant,,,,,,,,,,,,,,,,
387,irreverent,expound,germane,,maudlin,exacerbated,query,recidivism,,,,,,,,,,,,,,,,
388,jeopardize,expunge,gestation,,maverick,exact,queue,recondite,,,,,,,,,,,,,,,,
389,jettison,expurgate,gist,,melange,exacting,quintessential,reconnoiter,,,,,,,,,,,,,,,,
390,judicious,extant,glacial,,mendacious,exaggerate,rarefy,recreant,,,,,,,,,,,,,,,,
391,laconic,extenuating,glib,,mendicant,excise,raucous,rectitude,,,,,,,,,,,,,,,,
392,lament,extrapolate,glower,,mercurial,excoriated,recalcitrant,recumbent,,,,,,,,,,,,,,,,
393,languid,facetious,goad,,meretricious,exculpated,recluse,redolent,,,,,,,,,,,,,,,,
394,largesse,facile,goosebumps,,meritocracy,execrable,reconciliation,redoubtable,,,,,,,,,,,,,,,,
395,laudable,factious,gouge,,meticulous,exigent,reconnaissance,refractory,,,,,,,,,,,,,,,,
396,lax,factitious,gradation,,militate,exodus,rectify,regale,,,,,,,,,,,,,,,,
397,lethargic,fallacious,graft,,mirth,exorbitant,refute,rent,,,,,,,,,,,,,,,,
398,liability,fastidious,grandiloquent,,misanthrope,expatiate,relegate,repine,,,,,,,,,,,,,,,,
399,libertine,fawn,grandstand,,miscreant,expatriate,relish,replete,,,,,,,,,,,,,,,,
400,limpid,feckless,grating,,miser,expedient,remedial,reprobate,,,,,,,,,,,,,,,,
401,lionize,fecund,gregarious,,missive,explicate,remonstrate,reprove,,,,,,,,,,,,,,,,
402,loathe,fell,grievous,,mitigate,exponent,remuneration,ribald,,,,,,,,,,,,,,,,
403,loquacious,ferret,grouse,,mollify,expunge,renaissance,rubicund,,,,,,,,,,,,,,,,
404,lucid,fete,grovel,,molt,expurgate,renege,runic,,,,,,,,,,,,,,,,
405,lucrative,fickle,guile,,monastic,extant,reproach,sagacious,,,,,,,,,,,,,,,,
406,lull,finagle,hackneyed,,morass,extemporaneous,repudiate,salacious,,,,,,,,,,,,,,,,
407,magisterial,firebrand,halcyon,,moratorium,extenuating,rescind,salubrious,,,,,,,,,,,,,,,,
408,malfeasance,flag,hallmark,,mores,extirpate,resolute,sanatorium,,,,,,,,,,,,,,,,
409,malign,fledgling,handwringing,,morose,extol,respite,sanctimony,,,,,,,,,,,,,,,,
410,malleable,fleece,hapless,,multifarious,extraneous,restitution,sanguine,,,,,,,,,,,,,,,,
411,manacle,flippant,harangue,,mundane,extrapolate,resurrect,sartorial,,,,,,,,,,,,,,,,
412,manifest,flounder,hardy,,munificent,exult,retard,satiate,,,,,,,,,,,,,,,,
413,marginalize,flummox,harrow,,myopic,fabricate,reticent,saturnine,,,,,,,,,,,,,,,,
414,mawkish,flush,haven,,nadir,facetious,reverent,scurrilous,,,,,,,,,,,,,,,,
415,mendacity,flux,hearken,,naïve,fallible,rhetoric,scurvy,,,,,,,,,,,,,,,,
416,mercenary,foible,hedge,,narcissist,fanatic,rubric,sedulous,,,,,,,,,,,,,,,,
417,mercurial,foment,hedonist,,nascent,farce,rue,seine,,,,,,,,,,,,,,,,
418,metaphorical,foolhardy,hegemony,,nebulous,fastidious,salient,seminal,,,,,,,,,,,,,,,,
419,meticulous,forlorn,hermetic,,nefarious,fatuous,salutary,sententious,,,,,,,,,,,,,,,,
420,mettlesome,forthcoming,heterogeneous,,neologism,fawning,salve,sepulchral,,,,,,,,,,,,,,,,
421,mimic,forthright,hew,,neophyte,feckless,sanction,sidereal,,,,,,,,,,,,,,,,
422,minute,fortuitous,hierarchy,,nettle,fecund,sanction,simper,,,,,,,,,,,,,,,,
423,misanthropic,fractious,hoary,,nihilism,feign,sap,sinecure,,,,,,,,,,,,,,,,
424,miserly,frivolous,hodgepodge,,noisome,felicity,satire,sinuous,,,,,,,,,,,,,,,,
425,misnomer,frugal,homage,,nominal,ferret,saturate,slake,,,,,,,,,,,,,,,,
426,mitigate,frustrate,homogeneous,,noxious,fervor,savor,sodden,,,,,,,,,,,,,,,,
427,modest,futile,hoodwink,,nuance,festoon,schism,solder,,,,,,,,,,,,,,,,
428,modish,gaffe,hotly,,numismatic,fetid,secrete,solicitous,,,,,,,,,,,,,,,,
429,mollify,gainsay,husband,,obdurate,fiasco,sedative,sophistry,,,,,,,,,,,,,,,,
430,momentary,gall,hyberbole,,obfuscate,filial,serenity,sophomoric,,,,,,,,,,,,,,,,
431,monotonous,galvanize,iconoclast,,oblique,fillip,sever,soporific,,,,,,,,,,,,,,,,
433,mordant,gambit,idiosyncrasy,,obscure,finagled,shard,soubriquet,,,,,,,,,,,,,,,,
434,mundane,garrulous,idolatry,,obsequious,finicky,singular,splenetic,,,,,,,,,,,,,,,,
435,munificent,gauche,idyllic,,obstinate,fitful,slight,stanch,,,,,,,,,,,,,,,,
432,myopic,genial,ignoble,,obstreperous,flagrant,slothful,steep,,,,,,,,,,,,,,,,
436,naive,genteel,illiberality,,obstreperous,fleeting,soliloquy,stentorian,,,,,,,,,,,,,,,,
437,nascent,germane,imbue,,obstructionist,flippant,solvent,stoic,,,,,,,,,,,,,,,,
438,negligent,gerrymander,imminent,,obtuse,florid,somber,striated,,,,,,,,,,,,,,,,
439,neophyte,glean,immutable,,obviate,flotilla,sordid,strident,,,,,,,,,,,,,,,,
440,nettlesome,glib,impair,,occlude,flotsam,sparing,strut,,,,,,,,,,,,,,,,
441,neutralize,glut,impartial,,odious,flounder,sparse,stupefy,,,,,,,,,,,,,,,,
442,noble,goad,impasse,,officious,flourish,spendthrift,stygian,,,,,,,,,,,,,,,,
443,nonchalant,gossamer,impassive,,ominous,flouted,sporadic,stymie,,,,,,,,,,,,,,,,
444,nonplussed,graft,impecunious,,onerous,fluctuate,spurious,succor,,,,,,,,,,,,,,,,
445,noxious,grandiloquent,impede,,opaque,flummoxed,squalid,supercilious,,,,,,,,,,,,,,,,
446,nullify,gregarious,imperious,,opine,foible,stanza,supine,,,,,,,,,,,,,,,,
447,numinous,grovel,impermeable,,opprobrium,foment,static,suppliant,,,,,,,,,,,,,,,,
448,obeisance,guffaw,imperturbable,,opulent,forage,staunch,supplicant,,,,,,,,,,,,,,,,
449,oblivious,guileless,impervious,,oration,forbearance,stint,surfeit,,,,,,,,,,,,,,,,
450,obscure,gumption,impetuous,,ornate,foreground,subliminal,sycophant,,,,,,,,,,,,,,,,
451,obsequious,hackneyed,impious,,orotund,forestall,subpoena,table,,,,,,,,,,,,,,,,
452,obsolete,hagiographic,implacable,,orthodox,formidable,subtle,tamp,,,,,,,,,,,,,,,,
453,obstinate,hail,implication,,ossify,fortitude,succinct,tawdry,,,,,,,,,,,,,,,,
454,obviate,halcyon,implicit,,ostensible,fortuitous,sundry,tendentious,,,,,,,,,,,,,,,,
455,omnipresent,hamper,implode,,overt,fracas,superfluous,tetchy,,,,,,,,,,,,,,,,
456,onerous,hamstrung,imprecation,,overwrought,fractious,supplant,timorous,,,,,,,,,,,,,,,,
457,opaque,haphazard,impugn,,pacify,fraternize,surreptitious,toady,,,,,,,,,,,,,,,,
458,opprobrium,harangue,impute,,paean,frenetic,synergy,tonicity,,,,,,,,,,,,,,,,
459,ostentatious,harried,inadvertent,,palatial,froward,tacit,torpid,,,,,,,,,,,,,,,,
460,oust,haughty,inasmuch,,palliate,frugal,taciturn,torrid,,,,,,,,,,,,,,,,
461,outstrip,hauteur,incarnadine,,pallid,fruition,tact,tortuous,,,,,,,,,,,,,,,,
462,overt,hector,incendiary,,panacea,fudge,tangential,tractable,,,,,,,,,,,,,,,,
463,painstaking,hedge,incentive,,panache,fuliginous,tantalize,truculent,,,,,,,,,,,,,,,,
464,palpable,hegemony,inchoate,,panegyric,fulsome,tautology,tumid,,,,,,,,,,,,,,,,
465,panacea,heretic,incipient,,panoply,funereal,temper,turbid,,,,,,,,,,,,,,,,
466,panache,heyday,incongruous,,paradox,furor,temperate,turgid,,,,,,,,,,,,,,,,
467,paradigmatic,histrionic,inconsequential,,paragon,furtive,tenacity,turpitude,,,,,,,,,,,,,,,,
468,parochial,hoary,inconstancy,,parenthetical,gadfly,tender,tyro,,,,,,,,,,,,,,,,
469,parsimonious,hobble,incorporate,,pariah,gaffe,tentative,ubiquitous,,,,,,,,,,,,,,,,
470,partial,hodgepodge,inculcate,,parley,gainsay,tenuous,umbrage,,,,,,,,,,,,,,,,
471,patent,hoodwink,indefatigable,,parody,gallant,terse,uncouth,,,,,,,,,,,,,,,,
472,peculiar,hound,indeterminate,,parry,gambit,tirade,undulate,,,,,,,,,,,,,,,,
473,pedantic,hubris,indifferent,,parsimonious,gamboled,torque,unfeigned,,,,,,,,,,,,,,,,
474,pedestrian,humdrum,indigence,,partisan,garble,tout,untenable,,,,,,,,,,,,,,,,
475,pellucid,iconoclast,indolent,,pastiche,gargantuan,tranquil,untoward,,,,,,,,,,,,,,,,
476,pensive,iconoclastic,inert,,patriarch,garrulous,travesty,upbraid,,,,,,,,,,,,,,,,
477,perennial,idiosyncrasy,inexorable,,paucity,gauche,trepidation,urbane,,,,,,,,,,,,,,,,
478,perfidy,ignoble,infallible,,peccadillo,gaudy,trivial,usury,,,,,,,,,,,,,,,,
479,perfunctory,ignominious,inform,,pedagogical,genial,unfettered,vacuous,,,,,,,,,,,,,,,,
480,perilous,illicit,ingenuous,,pedantic,germane,unremitting,variegated,,,,,,,,,,,,,,,,
481,peripheral,illustrious,ingrained,,pejorative,germinate,vacillate,vaunt,,,,,,,,,,,,,,,,
482,pernicious,imbibe,ingrate,,penchant,ghastly,veracity,venal,,,,,,,,,,,,,,,,
483,perpetrate,imbroglio,ingratiate,,penitent,gild,veritable,venerate,,,,,,,,,,,,,,,,
484,perpetuate,immaterial,inherent,,penurious,glacial,vexation,veneration,,,,,,,,,,,,,,,,
485,pertinacious,immure,inimical,,peregrinate,glancing,viable,verdant,,,,,,,,,,,,,,,,
486,pertinent,immutable,iniquity,,perfidious,glaring,vigilant,verisimilitude,,,,,,,,,,,,,,,,
487,pervasive,impartial,innocuous,,perfunctory,glowered,vigor,vernacular,,,,,,,,,,,,,,,,
488,petulant,impeccable,inordinate,,peripatetic,glut,vilify,vestige,,,,,,,,,,,,,,,,
489,phlegmatic,impecunious,inquest,,permeate,goosebumps,viscous,virago,,,,,,,,,,,,,,,,
490,pious,impede,insensible,,pernicious,gossamer,vitality,virulent,,,,,,,,,,,,,,,,
491,pithy,impending,insinuate,,perquisite,grandiloquent,volatile,vitiate,,,,,,,,,,,,,,,,
492,placate,imperious,insipid,,perspicacity,grandiose,voracious,vitriolic,,,,,,,,,,,,,,,,
493,placid,impermeable,insular,,peruse,grandstand,waffle,viturperate,,,,,,,,,,,,,,,,
494,plaintive,impertinent,insurrection,,pervasive,grasping,waft,volubility,,,,,,,,,,,,,,,,
495,plastic,impervious,intelligible,,petulant,grating,wane,wag,,,,,,,,,,,,,,,,
496,platitude,impetuous,inter,,phalanx,gravitas,warranted,wax,,,,,,,,,,,,,,,,
497,pliant,implacable,interplay,,philanthropist,gregarious,waver,welter,,,,,,,,,,,,,,,,
498,plodding,implausible,interregnum,,philistine,grisly,weather,wend,,,,,,,,,,,,,,,,
499,poignant,implicate,intractable,,phlegmatic,grouse,whimsical,wheedle,,,,,,,,,,,,,,,,
500,polarize,imponderable,intransigent,,picayune,grovel,zealous,wizened,,,,,,,,,,,,,,,,
501,polemical,importuned,intrepid,,pious,gumption,,,,,,,,,,,,,,,,,,
502,polymath,impregnable,intrinsic,,pith,guttural,,,,,,,,,,,,,,,,,,
503,portend,improvident,inundate,,pithy,hackneyed,,,,,,,,,,,,,,,,,,
504,precarious,imprudent,inure,,placid,haggard,,,,,,,,,,,,,,,,,,
505,precipitate,impudent,invective,,platitude,halcyon,,,,,,,,,,,,,,,,,,
506,precipitous,impugn,inveigle,,plebeian,hallowed,,,,,,,,,,,,,,,,,,
507,preclude,impute,investiture,,plethora,hapless,,,,,,,,,,,,,,,,,,
508,predicament,inadvertent,invidious,,pliant,haptic,,,,,,,,,,,,,,,,,,
509,predilection,inanity,irascible,,plucky,harangue,,,,,,,,,,,,,,,,,,
510,premeditate,inarticulate,irresolute,,polemical,harbinger,,,,,,,,,,,,,,,,,,
511,prescient,incense,itinerant,,politic,hardscrabble,,,,,,,,,,,,,,,,,,
512,presumptuous,incessant,itinerary,,polyglot,harmonious,,,,,,,,,,,,,,,,,,
513,pretentious,inchoate,jargon,,populist,harried,,,,,,,,,,,,,,,,,,
514,prevaricate,incisive,jettison,,posit,harrow,,,,,,,,,,,,,,,,,,
515,prime,inclement,jingoism,,potentate,haughty,,,,,,,,,,,,,,,,,,
516,pristine,incongruous,jocular,,pragmatic,headlong,,,,,,,,,,,,,,,,,,
517,probity,incontrovertible,judicious,,prattle,hector,,,,,,,,,,,,,,,,,,
518,proclivity,incorrigible,juncture,,precipitate,hegemony,,,,,,,,,,,,,,,,,,
519,prodigal,incumbent,juxtapose,,precis,heinous,,,,,,,,,,,,,,,,,,
520,prodigious,indecorous,keen,,precocious,herald,,,,,,,,,,,,,,,,,,
521,proficient,indict,kindle,,predilection,hermetic,,,,,,,,,,,,,,,,,,
522,profligate,indifference,kinetic,,prescience,heterodox,,,,,,,,,,,,,,,,,,
523,profound,indigenous,knell,,pretense,heterogeneous,,,,,,,,,,,,,,,,,,
524,profundity,indigent,kudos,,prevaricate,heyday,,,,,,,,,,,,,,,,,,
525,profuse,indignant,lachrymose,,pristine,hiatus,,,,,,,,,,,,,,,,,,
526,proliferate,industrious,lackluster,,probity,hidebound,,,,,,,,,,,,,,,,,,
527,prolix,ineffable,laconic,,proclivity,hirsute,,,,,,,,,,,,,,,,,,
528,propagate,ineluctable,lament,,prodigal,histrionic,,,,,,,,,,,,,,,,,,
529,propensity,inequity,lampoon,,prodigy,hodgepodge,,,,,,,,,,,,,,,,,,
530,prophetic,inexorable,landmark,,profligate,holistic,,,,,,,,,,,,,,,,,,
531,propriety,infelicitous,languid,,progenitor,homespun,,,,,,,,,,,,,,,,,,
532,prosaic,inflammable,larceny,,proletarian,homogeneous,,,,,,,,,,,,,,,,,,
533,providential,ingenuity,largess or largesse,,proliferate,hortatory,,,,,,,,,,,,,,,,,,
534,provincial,ingenuous,lassitude,,propensity,hubris,,,,,,,,,,,,,,,,,,
535,provocative,ingratiate,latent,,propitiate,humbuggery,,,,,,,,,,,,,,,,,,
536,prowess,inimical,laudable,,propriety,humdrum,,,,,,,,,,,,,,,,,,
